financiamiento,tp_sexo,tp_area,inev,pes
Privado,Hombre,Rural,7.31,650.0
Privado,Hombre,Rural,7.67,720.0
Privado,Mujer,Rural,8.23,765.0
Privado,Hombre,Rural,6.92,610.0
Privado,Mujer,Rural,7.75,705.0
Privado,Mujer,Rural,7.58,680.0
Privado,Mujer,Rural,7.42,670.0
Privado,Hombre,Rural,7.27,665.0
Privado,Mujer,Rural,6.9,605.0
Privado,Mujer,Rural,6.3,575.0
Privado,Mujer,Rural,7.05,615.0
Publico,Mujer,Urbana,8.29,780.0
Publico,Mujer,Urbana,8.51,815.0
Publico,Hombre,Urbana,6.67,585.0
Publico,Hombre,Urbana,7.5,670.0
Publico,Hombre,Urbana,7.72,695.0
Publico,Hombre,Urbana,6.68,590.0
Publico,Mujer,Urbana,8.99,865.0
Publico,Hombre,Urbana,6.65,580.0
Publico,Hombre,Urbana,7.17,640.0
Publico,Hombre,Urbana,7.46,680.0
Publico,Mujer,Urbana,6.3,560.0
Publico,Hombre,Urbana,6.98,615.0
Publico,Hombre,Urbana,6.62,580.0
Publico,Hombre,Urbana,7.69,695.0
Publico,Hombre,Urbana,6.51,575.0
Publico,Mujer,Urbana,7.06,625.0
Publico,Mujer,Urbana,6.91,605.0
Publico,Mujer,Urbana,7.42,650.0
Publico,Mujer,Urbana,6.85,605.0
Publico,Mujer,Urbana,7.0,605.0
Publico,Hombre,Urbana,6.6,575.0
Publico,Mujer,Urbana,7.4,655.0
Publico,Mujer,Urbana,6.66,580.0
Publico,Mujer,Urbana,6.56,585.0
Publico,Hombre,Urbana,6.47,575.0
Publico,Mujer,Urbana,6.64,590.0
Publico,Mujer,Urbana,6.85,610.0
Publico,Hombre,Urbana,6.71,590.0
Publico,Hombre,Urbana,6.84,590.0
Publico,Mujer,Urbana,7.26,640.0
Publico,Hombre,Urbana,7.33,645.0
Publico,Hombre,Urbana,6.98,605.0
Publico,Hombre,Urbana,6.88,595.0
Publico,Mujer,Urbana,7.38,660.0
Publico,Mujer,Urbana,7.66,680.0
Publico,Mujer,Urbana,6.72,590.0
Publico,Hombre,Urbana,7.33,645.0
Publico,Hombre,Urbana,7.57,680.0
Publico,Hombre,Urbana,7.2,640.0
Publico,Hombre,Urbana,6.56,580.0
Publico,Hombre,Urbana,6.75,600.0
Publico,Hombre,Urbana,7.16,640.0
Publico,Mujer,Urbana,6.93,605.0
Publico,Hombre,Urbana,6.3,555.0
Publico,Hombre,Urbana,7.14,625.0
Publico,Mujer,Urbana,7.62,685.0
Publico,Hombre,Urbana,6.55,590.0
Publico,Mujer,Urbana,8.14,735.0
Publico,Mujer,Urbana,6.99,615.0
Publico,Hombre,Urbana,6.98,615.0
Publico,Mujer,Urbana,6.71,600.0
Publico,Mujer,Urbana,7.18,625.0
Publico,Mujer,Urbana,6.84,590.0
Publico,Hombre,Urbana,6.53,575.0
Publico,Mujer,Urbana,6.57,585.0
Publico,Mujer,Urbana,7.68,695.0
Publico,Hombre,Urbana,6.31,555.0
Publico,Mujer,Urbana,7.32,640.0
Publico,Mujer,Urbana,7.85,710.0
Publico,Mujer,Urbana,7.38,645.0
Publico,Hombre,Urbana,7.64,685.0
Publico,Hombre,Urbana,7.39,655.0
Publico,Mujer,Urbana,7.17,625.0
Publico,Mujer,Urbana,6.93,605.0
Publico,Mujer,Urbana,7.11,630.0
Publico,Hombre,Urbana,7.16,635.0
Publico,Hombre,Urbana,6.49,575.0
Publico,Mujer,Urbana,7.27,635.0
Publico,Hombre,Urbana,7.46,665.0
Publico,Hombre,Urbana,6.54,575.0
Publico,Mujer,Urbana,7.39,670.0
Publico,Hombre,Urbana,5.86,525.0
Publico,Hombre,Urbana,7.47,670.0
Publico,Hombre,Urbana,7.53,670.0
Publico,Hombre,Urbana,7.75,705.0
Publico,Hombre,Urbana,7.37,655.0
Publico,Mujer,Urbana,6.97,610.0
Publico,Hombre,Urbana,7.07,630.0
Publico,Mujer,Urbana,7.44,675.0
Publico,Mujer,Urbana,7.0,615.0
Publico,Hombre,Urbana,8.27,760.0
Publico,Mujer,Urbana,7.58,670.0
Publico,Mujer,Urbana,8.31,775.0
Publico,Mujer,Urbana,7.09,630.0
Publico,Mujer,Urbana,7.1,615.0
Publico,Hombre,Urbana,6.82,610.0
Publico,Mujer,Urbana,7.54,680.0
Publico,Hombre,Urbana,6.76,605.0
Publico,Mujer,Urbana,7.08,620.0
Publico,Mujer,Urbana,7.28,640.0
Publico,Mujer,Urbana,6.77,585.0
Publico,Mujer,Urbana,7.63,670.0
Publico,Hombre,Urbana,7.75,690.0
Publico,Mujer,Urbana,7.88,710.0
Publico,Hombre,Urbana,7.47,660.0
Publico,Hombre,Urbana,7.77,705.0
Publico,Hombre,Urbana,6.47,565.0
Publico,Hombre,Urbana,7.03,630.0
Publico,Mujer,Urbana,7.34,655.0
Publico,Hombre,Urbana,6.97,605.0
Publico,Mujer,Urbana,7.78,695.0
Publico,Hombre,Urbana,6.81,595.0
Publico,Mujer,Urbana,6.55,590.0
Publico,Mujer,Urbana,7.24,630.0
Publico,Mujer,Urbana,7.04,630.0
Publico,Mujer,Urbana,7.42,655.0
Publico,Mujer,Urbana,7.28,640.0
Publico,Mujer,Urbana,6.93,595.0
Publico,Mujer,Urbana,7.05,630.0
Publico,Mujer,Urbana,7.37,645.0
Publico,Hombre,Urbana,7.37,650.0
Publico,Hombre,Urbana,7.16,630.0
Publico,Mujer,Urbana,7.05,615.0
Publico,Mujer,Urbana,7.36,655.0
Publico,Mujer,Urbana,7.74,695.0
Publico,Mujer,Urbana,7.41,660.0
Publico,Hombre,Urbana,7.32,640.0
Publico,Hombre,Urbana,7.22,645.0
Publico,Hombre,Urbana,6.68,585.0
Publico,Mujer,Urbana,7.24,630.0
Publico,Mujer,Urbana,7.26,635.0
Publico,Hombre,Urbana,7.19,630.0
Publico,Hombre,Urbana,7.26,640.0
Publico,Mujer,Urbana,6.96,610.0
Publico,Mujer,Urbana,6.94,605.0
Publico,Hombre,Urbana,7.31,660.0
Publico,Hombre,Urbana,7.44,655.0
Publico,Mujer,Urbana,7.58,695.0
Publico,Mujer,Urbana,6.2,555.0
Publico,Mujer,Urbana,6.92,605.0
Publico,Hombre,Urbana,7.16,620.0
Publico,Mujer,Urbana,7.08,620.0
Publico,Hombre,Urbana,6.74,595.0
Publico,Mujer,Urbana,7.51,665.0
Publico,Hombre,Urbana,6.94,605.0
Publico,Hombre,Urbana,6.54,570.0
Publico,Mujer,Urbana,6.52,580.0
Publico,Hombre,Urbana,7.27,640.0
Publico,Hombre,Urbana,5.63,515.0
Publico,Mujer,Urbana,6.46,565.0
Publico,Mujer,Urbana,8.11,735.0
Publico,Hombre,Urbana,7.17,625.0
Publico,Mujer,Urbana,6.83,590.0
Publico,Mujer,Urbana,6.52,580.0
Publico,Mujer,Urbana,7.01,615.0
Publico,Mujer,Urbana,8.09,745.0
Publico,Mujer,Urbana,6.95,620.0
Publico,Mujer,Urbana,7.73,700.0
Publico,Mujer,Urbana,6.78,590.0
Publico,Mujer,Urbana,7.68,695.0
Publico,Hombre,Urbana,6.97,605.0
Publico,Mujer,Urbana,6.67,590.0
Publico,Mujer,Urbana,6.26,550.0
Publico,Hombre,Urbana,6.91,605.0
Publico,Hombre,Urbana,7.18,640.0
Publico,Mujer,Urbana,7.24,635.0
Publico,Mujer,Urbana,6.68,590.0
Privado,Mujer,Urbana,7.96,720.0
Privado,Mujer,Urbana,7.74,700.0
Privado,Mujer,Urbana,7.74,710.0
Privado,Mujer,Urbana,7.67,690.0
Privado,Mujer,Urbana,6.71,605.0
Privado,Hombre,Urbana,7.52,670.0
Privado,Mujer,Urbana,8.06,740.0
Privado,Hombre,Urbana,9.11,870.0
Privado,Mujer,Urbana,7.88,710.0
Privado,Mujer,Urbana,7.96,730.0
Privado,Hombre,Urbana,8.01,725.0
Privado,Mujer,Urbana,7.19,640.0
Privado,Hombre,Urbana,7.11,640.0
Privado,Mujer,Urbana,7.69,685.0
Privado,Mujer,Urbana,7.44,660.0
Privado,Hombre,Urbana,7.55,675.0
Privado,Mujer,Urbana,8.75,825.0
Privado,Mujer,Urbana,7.71,685.0
Privado,Hombre,Urbana,7.51,665.0
Privado,Hombre,Urbana,7.85,715.0
Privado,Hombre,Urbana,8.27,760.0
Privado,Mujer,Urbana,7.74,695.0
Privado,Hombre,Urbana,8.06,740.0
Privado,Hombre,Urbana,8.34,775.0
Privado,Hombre,Urbana,8.19,750.0
Privado,Hombre,Urbana,7.98,730.0
Privado,Mujer,Urbana,9.28,900.0
Privado,Mujer,Urbana,8.14,755.0
Privado,Mujer,Urbana,7.95,730.0
Privado,Mujer,Urbana,8.3,775.0
Privado,Hombre,Urbana,9.77,965.0
Privado,Hombre,Urbana,8.2,755.0
Privado,Mujer,Urbana,8.26,765.0
Privado,Mujer,Urbana,8.02,740.0
Privado,Mujer,Urbana,8.02,735.0
Privado,Hombre,Urbana,9.73,965.0
Privado,Mujer,Urbana,8.53,800.0
Privado,Mujer,Urbana,8.18,760.0
Privado,Mujer,Urbana,9.35,920.0
Privado,Hombre,Urbana,9.78,970.0
Privado,Hombre,Urbana,8.55,815.0
Privado,Hombre,Urbana,8.4,795.0
Privado,Mujer,Urbana,8.62,815.0
Privado,Mujer,Urbana,7.08,630.0
Privado,Mujer,Urbana,7.6,690.0
Privado,Hombre,Urbana,7.57,670.0
Privado,Mujer,Urbana,8.41,770.0
Privado,Mujer,Urbana,7.0,625.0
Privado,Hombre,Urbana,9.76,970.0
Privado,Hombre,Urbana,9.75,965.0
Privado,Mujer,Urbana,8.03,730.0
Privado,Hombre,Urbana,9.36,910.0
Privado,Mujer,Urbana,7.34,650.0
Privado,Mujer,Urbana,9.7,960.0
Privado,Hombre,Urbana,9.15,885.0
Privado,Hombre,Urbana,8.36,785.0
Privado,Hombre,Urbana,9.76,965.0
Privado,Hombre,Urbana,9.02,875.0
Publico,Hombre,Urbana,7.95,720.0
Publico,Hombre,Urbana,8.12,745.0
Publico,Mujer,Urbana,7.93,725.0
Publico,Hombre,Urbana,6.64,585.0
Publico,Hombre,Urbana,7.47,660.0
Publico,Mujer,Urbana,7.31,640.0
Publico,Mujer,Urbana,7.72,680.0
Publico,Mujer,Urbana,6.69,595.0
Publico,Hombre,Urbana,7.06,610.0
Publico,Mujer,Urbana,7.83,705.0
Publico,Mujer,Urbana,7.66,680.0
Publico,Hombre,Urbana,7.27,660.0
Publico,Mujer,Urbana,7.42,660.0
Publico,Hombre,Urbana,7.36,645.0
Publico,Mujer,Urbana,7.13,640.0
Publico,Mujer,Urbana,6.6,585.0
Publico,Mujer,Urbana,6.79,605.0
Publico,Hombre,Urbana,6.79,595.0
Publico,Hombre,Urbana,7.39,660.0
Publico,Mujer,Urbana,7.25,635.0
Publico,Mujer,Urbana,6.45,580.0
